modelName,modelIndex,fileName,time,acc,recall,precision,dice,delta_t_peak,delta_peak,delta_auc,ratio_t_peak,ratio_peak,ratio_auc,aif_mse,aif_sse,aif_normalized_cross_correlation,aif_normalized_mutual_information,hausdorff,mean_surface_distance,median_surface_distance,std_surface_distance,max_surface_distance,overlap_dice,overlap_volume_similarity,overlap_false_negative,overlap_false_positive,peak_t,auc,peak
target_middlep,0.4375,41242565,0,0.9978400336371528,0.028963414634146343,1.0,0.05629629979149518,0,0.09716423724514084,1.2347137074301662,0,21.226473326170606,1.2347137074301653,0.0007067535561750863,0.04876599537608096,0.0,0.8421805289890878,15.892725651606838,inf,inf,inf,inf,inf,inf,inf,inf,8,8.723660742480378,0.554914499156736
target_middlep,0.4375,41286222,0,0.9967278374565972,0.029914529914529916,0.9916666666666667,0.058077113084243265,0,0.05158467959823215,0.7520858455083044,0,15.321480545625962,-0.7520858455083046,0.0005294827625845217,0.036534310618332004,0.0,0.8466900864936872,25.06556014976266,inf,inf,inf,inf,inf,inf,inf,inf,8,3.3791182542883966,0.3882667609716198
target_middlep,0.453125,41297385,0,0.99591064453125,0.023679417122040074,1.0,0.046263347081329884,0,0.13424932090446146,1.8475373384692633,0,35.097103246584474,1.8475373384692648,0.0010087063105351241,0.06960073542692356,0.0,0.7918628811945257,10.0697516416886,inf,inf,inf,inf,inf,inf,inf,inf,8,8.536868119697475,0.5167575865047745
target_middlep,0.453125,41310029,0,0.9987801445855035,0.03422818791946309,1.0,0.06619079126417397,0,0.10499524041020847,2.766830080597309,0,26.844021063101724,2.7668300805973147,0.00196244211902293,0.13540850621258216,0.0,0.8637757984383899,9.998453851037555,inf,inf,inf,inf,inf,inf,inf,inf,11,17.746859777965426,0.4961260630369609
target_middlep,0.453125,41449076,0,0.9969414605034722,0.037096343741659994,1.0,0.07153885982619952,0,0.06659844740338094,2.1890002646064763,0,15.798706763481325,2.1890002646064763,0.0014940153283852081,0.10308705765857937,0.0,0.8671573437916522,16.388568506843804,inf,inf,inf,inf,inf,inf,inf,inf,9,9.504155274357199,0.48814211170711436
target_middlep,0.453125,41451750,0,0.9978688557942709,0.03344867358708189,1.0,0.06473214633656195,0,0.17287323435889307,3.231864227711272,0,42.84915907130533,3.2318642277112737,0.003465487660156875,0.23911864855082438,0.0,0.8724686440306695,16.007870839345404,inf,inf,inf,inf,inf,inf,inf,inf,8,11.302796305361,0.5763192718207124
target_middlep,0.4375,42005025,0,0.9978154500325521,0.03374578177727784,1.0,0.06528836030000594,0,0.03318223678201687,1.631029876355874,0,-7.96016361308452,-1.6310298763558755,0.0007040900179782054,0.04858221124049617,0.0,0.8427323163957436,5.71370510493209,inf,inf,inf,inf,inf,inf,inf,inf,11,5.841738492359483,0.38367146616792713
target_middlep,0.4375,42121701,0,0.9985368516710069,0.029792017987633503,1.0,0.05786026715141776,0,0.01241962088187859,1.3388420429311054,0,-3.5176137606337217,-1.3388420429311056,0.0006027477769673066,0.041589596610744156,0.0,0.8911681495598446,9.62932503572513,inf,inf,inf,inf,inf,inf,inf,inf,8,0.9479516081036139,0.34064986675968423
target_middlep,0.421875,42123446,0,0.9969957139756944,0.040606388738494856,1.0,0.0780437068729352,0,0.05586168916795664,2.2064275740761,0,16.683859211796584,2.2064275740761023,0.0013130055786403957,0.0905973849261873,0.0,0.9328829774882196,7.31039193690489,inf,inf,inf,inf,inf,inf,inf,inf,9,14.004405863000974,0.3906864348027002
target_middlep,0.4375,42125160,0,0.9979875352647569,0.0329938900203666,1.0,0.0638801298742897,0,0.11917646721810299,2.245291403436318,0,31.565186523487803,2.245291403436318,0.002297697428121527,0.15854112254038535,0.0,0.9086732273599788,12.335947722129136,inf,inf,inf,inf,inf,inf,inf,inf,12,10.20403968994705,0.496733137537232
target_middlep,0.453125,42147328,0,0.9988276163736979,0.04224376731301939,1.0,0.08106312902948087,0,0.01651128822025416,2.607043751775519,0,-3.7720902649113643,-2.607043751775519,0.0016483137413572406,0.1137336481536496,0.0,0.817056506217537,15.208430332417297,inf,inf,inf,inf,inf,inf,inf,inf,7,6.436450049600969,0.4212112226603846
